# $Id: translation-terms.txt,v 1.23 2001/01/13 04:47:26 yyamano Exp $
#
# 以下のリストの単語は2種類に分類できます。
# 
# [術語(term)] この業界のある特定の概念を表しているもの。例えば、
#   所有者ID, プロセス(など intro.2 の項目), ナル文字 etc.
# 
# [一般語] 特定の概念に結び付かないもの。例えば、
#   重ね書き、一致/マッチ、デフォルト(は微妙か:-)、コピー etc.
# 
# 術語は極力統一するよう試みて下さい。もし不自然とか、統一が難しいとか
# いう事態が生じた場合、リストのその単語部分の記述を検討しますので、メー
# リングリストに御一報下さると助かります。
# 
# 一般語には [general] を付けています。一般語の訳語は参考としての位置
# 付けで、文脈によって工夫することはいっこうに構いません(というか望ま
# しいかも)。
# [kana] とあるのは、片仮名表記の場合に揺れの大きいもの。
#
# XXX - [] がついてない単語は、故意ではなく、作業を怠っているため
#
# ------------------------------------------------------------------------
# 対訳表 ("sort -f" 順。※ emacs で、範囲指定してから 「C-u M-| sort -f」)
# -------------------------------------	----------------------------------
# オリジナル				訳
# -------------------------------------	----------------------------------
32-bit					32 ビット
386					386
386BSD					386BSD
486					486
abnormal termination			異常終了[POSIX]
absolute pathname			絶対パス名[POSIX]
absolute value				絶対値[POSIX]
access mode				アクセスモード[POSIX]
access permission(s)			アクセス許可[POSIX]
accessibility				アクセス許可の有無[POSIX]
account					アカウント[acct.5]
accounting file				アカウンティングファイル[acct.5]
active					アクティブ
adapter					アダプター
additional file access control mechanism	追加ファイルアクセス制御機構[POSIX]
address					アドレス
address space				アドレス空間[POSIX]
advanced				更なる，進んだ
Advanced Power Management		Advanced Power Management
advisory record locking			問合せ型レコードロック[POSIX]
alarm clock				アラームクロック[POSIX]
alias					(名)別名(sendmail),エイリアス(csh)(動)エイリアスする(sendmail)[aliases.5,csh.1]
alignment				境界調整[POSIX]
allocation resources			割当て資源[POSIX]
altanatives				選択肢(複数から1つを選ぶときの)[general]
alternate file access control mechanism	代替ファイルアクセス制御機構[POSIX]
AMD					AMD 社
And many more!				もう書ききれません!
And more...				さらにいろいろ...
anonymous FTP				anonymous FTP
APM					APM
appetite				要求
application(s)				応用プログラム[POSIX]
appropriate privileges			適切な権限[POSIX]
arbitrate				調停
architecture				アーキテクチャー
archive file				アーカイブファイル[POSIX]
argument				引き数,実引き数(parameter と対比された場合)[POSIX]
argument list				引き数並び[POSIX]
array					配列
array of char				char 型の配列[POSIX]
array of character pointer		文字型ポインターの配列[POSIX]
art					技術的な
associate with				結び付けられた(ストリームとファイルに用いる)[POSIX]
associated				結び付けられた[POSIX]
asynchronous				非同期[POSIX]
asynchronous serial data communication	非同期直列データ通信[POSIX]
asynchronous serial data transmission	非同期直列データ転送[POSIX]
atomic					不可分な[POSIX]
attach					組み込む[*_attach.9,slattach.5]
attribute				属性[POSIX,termcap.5]
authenticate				認証する[ntp,exports.5]
authentication				認証[ntp,exports.5]
AUTHORS					作者(.Sh)[jpman]
automatic mount				オートマウント
azimuth correction			方向調整
background				バックグラウンド(プロセスの実行状態の一つ)
background color			背景色[termcap.5]
background process			バックグラウンドプロセス
background process group		バックグラウンドプロセスグループ[POSIX]
backup					バックアップ
backward compatibility			以前との互換性[POSIX]
banner					バナー[gettytab.5]
baud rate				ボーレート
be freed				開放される[POSIX]
behavior				動作[POSIX]
Berkeley				バークレー
binary					バイナリー[kana]
binary compatibility			バイナリー互換性
binary streams				バイナリーのストリーム[POSIX]
BIOS					BIOS
bitwise					ビット単位の[POSIX]
bitwise distinct			ビット単位に識別可能[POSIX]
bitwise inclusive OR			ビット単位のOR[POSIX]
block					(シグナルを)ブロックする[POSIX]
block					(シグナルを)遮断する[POSIX]
block special file			ブロック特殊ファイル[POSIX]
blocking				待たせる(読取り書込みについて)[POSIX]
boolean value				ブール値[term.5]
boot					ブート
boot code				ブートコード
bottom margin				下マージン[termcap.5]
bracket expression			角括弧式[re_format.5]
branch					枝[rcsfile.5,re_format.5]
branch point				分岐点[rcsfile.5]
break condition				ブレーク条件[POSIX]
